--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
055.485  000.063  000.043: require('dapui.config.highlights')
055.533  000.043  000.043: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
055.566  000.279  000.173: require('dapui.config')
055.574  000.344  000.065: require('dapui.util')
055.624  000.049  000.049: require('dapui.windows.layout')
055.630  000.462  000.069: require('dapui.windows')
055.678  000.047  000.047: require('dapui.controls')
055.683  001.773  000.158: require('dapui')
055.735  000.024  000.024: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
055.879  000.064  000.064: require('dapui.client.types')
055.882  000.124  000.060: require('dapui.client')
055.930  000.038  000.038: require('dapui.client.lib')
056.027  000.054  000.054: require('dapui.render.canvas')
056.028  000.089  000.035: require('dapui.elements.breakpoints')
056.088  000.044  000.044: require('dapui.components.breakpoints')
056.164  000.032  000.032: require('dapui.elements.repl')
056.197  000.030  000.030: require('dapui.elements.scopes')
056.272  000.035  000.035: require('dapui.components.scopes')
056.312  000.038  000.038: require('dapui.components.variables')
056.354  000.031  000.031: require('dapui.elements.stacks')
056.448  000.032  000.032: require('dapui.components.frames')
056.449  000.065  000.033: require('dapui.components.threads')
056.537  000.072  000.072: require('dapui.elements.watches')
056.589  000.040  000.040: require('dapui.components.watches')
056.632  000.030  000.030: require('dapui.elements.hover')
056.674  000.032  000.032: require('dapui.components.hover')
056.722  000.043  000.043: require('dapui.elements.console')
056.810  000.056  000.056: require('nvim-dap-virtual-text')
056.859  000.011  000.011: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
056.874  000.012  000.012: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
056.915  000.034  000.034: require('config.codelldb')
057.305  000.109  000.109: require('snacks.util')
057.360  000.435  000.327: require('snacks.notifier')
057.412  003.562  000.474: require('config.dap')
058.438  000.854  000.854: sourcing /home/freja/.local/share/nvim/lazy/vim-abolish/plugin/abolish.vim
058.443  000.883  000.029: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
058.452  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
058.464  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
058.969  000.022  000.022: sourcing /home/freja/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
058.973  000.048  000.026: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
058.979  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
058.994  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
059.004  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
